Mode,MNLC,MASC,Station,Coverage,Source,Entries Monday,Entries Midweek (Tue-Thu),Entries Friday,Entries Saturday,Entries Sunday,Exits Monday,Exits Midweek (Tue-Thu),Exits Friday,Exits Saturday,Exits Sunday,Weekly Entries and Exits,12 week Entries and Exits,Annualised Entries and Exits
DLR,867,DERd,Devons Road,Station entry/exit,APC,"3,712","3,928","3,991","3,143","2,409","3,713","3,877","3,790","2,971","2,388","49,533","594,395","2,402,790"
DLR,883,EAId,East India,Station entry/exit,APC,"6,671","7,453","6,751","3,946","2,733","7,022","7,748","7,026","3,974","2,625","86,352","1,036,225","4,188,844"
DLR,898,ELRd,Elverson Road,Station entry/exit,APC,"2,120","2,329","2,279","1,809","1,335","2,005","2,177","2,013","1,658","1,305","28,043","336,519","1,360,346"
DLR,894,GARd,Gallions Reach,Station entry/exit,APC,"2,845","3,146","3,065","2,501","1,740","3,059","3,380","3,184","2,542","1,862","40,374","484,491","1,958,512"
DLR,928,GREd,Greenwich,Boarding/alighting,APC,"9,849","10,936","10,779","10,371","8,441","10,358","11,953","11,247","11,816","9,507","151,035","1,812,424","7,326,561"
DLR,855,HEQd,Heron Quays,Station entry/exit,APC,"8,136","8,549","7,684","6,524","5,140","8,689","9,162","8,361","6,937","5,406","110,009","1,320,105","5,336,404"
DLR,856,ISGd,Island Gardens,Station entry/exit,APC,"3,561","3,756","3,841","3,340","2,543","3,303","3,496","3,445","2,847","2,191","46,828","561,933","2,271,563"
DLR,523,KGVd,King George V,Station entry/exit,APC,"2,215","2,316","2,392","1,993","1,458","2,348","2,533","2,460","1,977","1,514","30,904","370,852","1,499,137"
DLR,853,LAPd,Langdon Park,Station entry/exit,APC,"6,041","6,855","6,445","5,394","4,161","5,856","6,435","6,375","5,201","3,938","83,280","999,361","4,039,828"
DLR,940,LEWd,Lewisham DLR,Station entry/exit,APC,"11,471","12,532","12,038","9,791","7,516","11,157","11,809","11,641","9,071","6,941","152,648","1,831,779","7,404,800"
DLR,862,LIMd,Limehouse DLR,Station entry/exit,APC,"7,651","8,525","8,017","5,897","4,087","11,035","12,012","11,313","8,123","6,171","123,903","1,486,835","6,010,395"
DLR,533,LCAd,London City Airport,Station entry/exit,APC,"5,567","6,050","6,425","2,070","3,684","6,261","6,234","6,288","2,209","3,832","73,187","878,243","3,550,217"
DLR,857,MUDd,Mudchute,Station entry/exit,APC,"2,577","2,685","2,668","2,425","1,701","2,439","2,542","2,465","2,324","1,703","33,982","407,778","1,648,407"
DLR,538,PDKd,Pontoon Dock,Station entry/exit,APC,"3,802","4,263","4,187","3,906","2,707","4,072","4,471","4,248","3,902","2,780","55,804","669,642","2,706,968"
DLR,858,POPd,Poplar,Station entry/exit,APC,"2,403","3,401","2,392","1,699","1,492","2,877","3,540","2,589","1,863","1,422","37,560","450,716","1,821,978"
DLR,888,PRRd,Prince Regent,Station entry/exit,APC,"2,241","2,649","2,481","1,824","1,367","2,436","2,853","2,775","2,023","1,306","32,958","395,501","1,598,778"
DLR,859,PMLd,Pudding Mill Lane,Station entry/exit,APC,"3,817","2,306","4,034","5,045","4,538","3,935","2,414","4,078","4,727","4,372","48,704","584,447","2,362,572"
DLR,890,ROAd,Royal Albert,Station entry/exit,APC,"2,017","2,189","2,240","1,943","1,779","2,190","2,349","2,473","2,186","1,668","30,111","361,333","1,460,657"
DLR,886,ROVd,Royal Victoria,Station entry/exit,APC,"3,802","4,316","4,737","4,929","2,818","3,263","3,661","3,842","3,892","2,336","53,550","642,596","2,597,635"
DLR,860,SHAd,Shadwell DLR,Station entry/exit,APC,"8,976","9,717","9,699","7,249","5,249","9,056","10,103","9,911","7,294","5,353","122,247","1,466,963","5,930,065"
DLR,861,SOQd,South Quay,Station entry/exit,APC,"6,733","7,281","6,496","4,278","3,252","7,248","7,784","6,655","4,365","3,388","87,612","1,051,339","4,249,944"
DLR,889,STLd,Star Lane,Station entry/exit,APC,"2,428","2,661","2,509","1,527",962,"2,652","2,889","2,813","1,562",976,"32,080","384,960","1,556,168"
DLR,719,SFDu,Stratford,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
DLR,749,SHSd,Stratford High Street,Station entry/exit,APC,"1,878","1,964","1,715","1,230",904,"2,066","2,146","1,872","1,306",980,"24,283","291,391","1,177,921"
DLR,504,STId,Stratford International DLR,Station entry/exit,APC,"6,077","6,776","5,646","5,947","3,920","5,481","6,103","5,221","5,381","3,743","80,054","960,646","3,883,325"
DLR,864,TOGd,Tower Gateway,Station entry/exit,APC,"3,709","4,044","4,087","3,487","2,485","4,178","4,644","4,715","4,005","2,938","55,667","668,003","2,700,342"
DLR,757,WHMu,West Ham,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
DLR,866,WIQd,West India Quay,Station entry/exit,APC,"3,657","3,953","4,362","4,817","3,489","3,661","3,870","4,048","4,408","3,243","55,155","661,854","2,675,486"
DLR,559,WSId,West Silvertown,Station entry/exit,APC,"3,566","3,968","3,913","3,407","2,421","3,098","3,433","3,610","2,886","1,880","46,983","563,792","2,279,078"
DLR,865,WESd,Westferry,Station entry/exit,APC,"6,182","6,902","7,084","6,076","4,876","6,254","6,759","6,942","5,971","4,744","89,113","1,069,354","4,322,766"
DLR,573,WOAd,Woolwich Arsenal,Boarding/alighting,APC,"10,458","10,378","11,104","9,139","6,424","10,307","10,478","10,857","9,122","6,901","136,879","1,642,543","6,639,831"
EZL,5131,ABWr,Abbey Wood,Boarding/alighting,Loadweigh,"23,763","26,478","24,193","18,957","12,114","27,437","30,498","27,276","20,710","15,432","340,812","4,089,746","16,559,928"
EZL,3000,AMLr,Acton Main Line,Station entry/exit,TAPS,"4,877","5,639","5,474","4,901","2,542","4,771","5,400","4,690","4,615","2,507","67,492","809,902","3,279,402"
EZL,524,BDSu,Bond Street,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,6872,BREr,Brentwood,Station entry/exit,TAPS,"5,527","6,205","5,547","3,771","2,124","5,445","5,800","5,165","3,492","2,142","69,226","830,716","3,363,680"
EZL,3176,BNMr,Burnham,Station entry/exit,TAPS,"3,483","4,177","3,934","3,011","1,656","3,537","4,281","3,639","2,846","1,643","49,122","589,458","2,386,795"
EZL,6560,CWXr,Canary Wharf EL,Station entry/exit,TAPS,"24,598","32,398","24,773","20,246","13,374","25,695","32,807","25,246","21,960","14,151","365,657","4,387,886","17,767,137"
EZL,6874,CTHr,Chadwell Heath,Station entry/exit,TAPS,"7,472","8,025","7,807","5,589","3,687","7,192","7,579","7,301","4,986","3,559","94,405","1,132,854","4,587,079"
EZL,6561,CUSr,Custom House EL,Station entry/exit,TAPS,"12,427","15,395","14,024","13,832","7,940","12,790","15,120","13,854","13,761","7,796","187,968","2,255,616","9,133,290"
EZL,560,EBYu,Ealing Broadway,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,577,FARu,Farringdon,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,6876,FOGr,Forest Gate,Station entry/exit,TAPS,"8,858","9,681","9,615","7,549","5,339","8,697","9,478","8,961","6,979","5,274","118,747","1,424,968","5,769,887"
EZL,6877,GDPr,Gidea Park,Station entry/exit,TAPS,"4,685","5,540","4,661","3,506","1,960","4,340","5,100","4,239","3,043","1,961","60,315","723,780","2,930,680"
EZL,6878,GMYr,Goodmayes,Station entry/exit,TAPS,"7,129","7,511","7,312","5,275","3,474","7,042","7,316","6,977","4,933","3,366","89,991","1,079,894","4,372,634"
EZL,3191,HANr,Hanwell,Station entry/exit,TAPS,"3,461","4,418","3,871","3,694","2,949","2,967","3,570","3,224","3,424","2,170","49,725","596,703","2,416,132"
EZL,6879,HROr,Harold Wood,Station entry/exit,TAPS,"5,639","6,229","5,612","3,650","2,122","5,429","5,934","5,254","3,315","1,895","69,403","832,840","3,372,278"
EZL,3186,HAYr,Hayes & Harlington,Station entry/exit,TAPS,"13,525","15,252","14,134","12,080","7,910","14,243","15,837","14,454","11,846","8,043","189,500","2,273,999","9,207,726"
EZL,7091,HAFr,Heathrow Terminal 4 EL,Station entry/exit,TAPS,"5,344","5,485","5,402","5,690","5,782","4,972","5,349","5,178","5,395","4,604","74,868","898,417","3,637,811"
EZL,9846,HWVr,Heathrow Terminal 5 EL,Station entry/exit,TAPS,"13,188","12,720","12,583","8,896","9,832","12,027","13,052","14,979","10,461","7,737","167,020","2,004,242","8,115,445"
EZL,7090,HXXr,Heathrow Terminals 2 & 3 EL,Station entry/exit,TAPS,"18,003","17,267","17,857","16,054","16,803","16,627","15,677","17,079","16,119","13,914","231,289","2,775,470","11,238,251"
EZL,6881,IFDr,Ilford,Station entry/exit,TAPS,"16,656","17,521","17,062","14,723","10,427","16,944","18,197","16,823","14,401","10,343","224,534","2,694,405","10,910,005"
EZL,3170,IVRr,Iver,Station entry/exit,TAPS,717,905,926,607,586,807,813,824,593,"1,151","11,365","136,380","552,220"
EZL,3171,LNYr,Langley,Station entry/exit,TAPS,"2,521","2,839","3,228","2,388","1,195","2,814","3,073","3,517","2,208","1,654","37,261","447,129","1,810,487"
EZL,634,LSTu,Liverpool Street LU,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,6965,LSTr,Liverpool Street NR,---Limited Service---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,3147,MAIr,Maidenhead,Station entry/exit,TAPS,"8,587","10,971","7,835","7,186","4,324","8,656","11,274","8,482","7,572","4,600","123,976","1,487,714","6,023,954"
EZL,6883,MNPr,Manor Park,Station entry/exit,TAPS,"6,218","6,760","6,881","5,316","3,940","6,030","6,477","6,311","4,984","3,791","83,182","998,179","4,041,759"
EZL,6970,MYLr,Maryland,Station entry/exit,TAPS,"6,337","6,882","6,735","5,192","3,631","5,857","6,336","5,911","4,484","3,415","81,216","974,597","3,946,275"
EZL,670,PADu,Paddington TfL,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,3149,RDGr,Reading,Boarding/alighting,Loadweigh,"4,607","5,043","5,094","3,873","3,850","6,184","6,581","6,766","5,512","4,446","75,202","902,418","3,654,011"
EZL,6886,RMFr,Romford,Station entry/exit,TAPS,"15,006","16,471","15,801","12,570","7,754","15,722","17,396","16,402","12,678","8,024","205,555","2,466,666","9,987,858"
EZL,6893,SVKr,Seven Kings,Station entry/exit,TAPS,"6,495","6,923","6,719","4,885","3,413","5,978","6,338","6,007","4,349","3,108","80,738","968,859","3,923,039"
EZL,6888,SNFr,Shenfield,Boarding/alighting,Loadweigh,"4,825","4,565","4,467","3,504","1,656","5,877","5,687","5,706","4,604","2,584","63,976","767,717","3,108,590"
EZL,3172,SLOr,Slough,Station entry/exit,TAPS,"8,738","9,863","8,788","7,691","5,110","8,222","9,250","8,171","6,905","4,478","115,441","1,385,297","5,609,252"
EZL,3187,STLr,Southall,Station entry/exit,TAPS,"12,159","13,163","12,774","11,152","7,809","12,791","13,556","12,856","10,544","6,931","167,174","2,006,089","8,122,921"
EZL,719,SFDu,Stratford,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,3151,TAPr,Taplow,Station entry/exit,TAPS,"1,195","1,464","1,403","1,217",591,"1,269","1,482","1,282",952,860,"17,605","211,256","855,404"
EZL,728,TCRu,Tottenham Court Road,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,3155,TWYr,Twyford,Station entry/exit,TAPS,"4,447","6,405","6,798","4,812","2,873","4,783","7,479","7,515","4,949","2,965","80,793","969,514","3,925,692"
EZL,3174,WDTr,West Drayton,Station entry/exit,TAPS,"5,859","6,445","6,162","5,371","2,902","5,594","5,928","5,594","4,776","2,620","75,999","911,989","3,692,765"
EZL,3188,WEAr,West Ealing,Station entry/exit,TAPS,"4,386","5,534","4,783","4,393","2,252","4,235","5,009","4,236","3,665","2,399","61,979","743,746","3,011,527"
EZL,763,WCLu,Whitechapel,---see LU---,TAPS,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,6562,WWCr,Woolwich EL,Station entry/exit,TAPS,"20,213","23,366","22,165","19,323","13,202","19,980","23,138","20,901","18,132","12,472","285,899","3,430,792","13,891,737"
