Property Reference,Property Description,Rateable Value,Account Name,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Empty Date,Exemption Code
25680005920009,FACTORY AND PREMISES,"£41,250.00",Archway Steel Ltd,24/07/2024,59 Lancaster Road,Barnet,Hertfordshire,,,EN4 8AS,24/07/2024,INDUSTRIAL
2244001171001B,OFFICES AND PREMISES,"£24,250.00",Arima Properties Limited,06/07/2023,117 High Street,Barnet,Hertfordshire,,,EN5 5UZ,16/11/2021,NONE
22440012100007,SHOP AND PREMISES,"£40,250.00",Arima Properties Limited,29/11/2024,121 High Street,Barnet,Hertfordshire,,,EN5 5UZ,29/11/2024,NONE
10360004220009,SURGERY AND PREMISES,"£54,000.00",Ark Commercial Ltd,10/09/2025,Cornwall House,Cornwall Avenue,London,,,N3 1LD,10/09/2025,3 MONTHS
4600009600002,SHOP AND PREMISES,"£20,750.00",Aroma Expresso Bar Ltd,20/09/2005,96 Brent Street,London,,,,NW4 2HH,01/04/2023,NONE
8841000700001,SHOP AND PREMISES,"£10,000.00",Aung World Ltd,08/09/2025,7 Sutton Parade,Church Road,London,,,NW4 1RR,08/09/2025,3 MONTHS
44760025410017,SHOP AND PREMISES,"£31,500.00",Aureus Automotive Ltd,30/06/2019,Gnd Flr,254-256 Watford Way,London,,,NW4 4UJ,06/03/2025,NONE
22380008710015,SHOP AND PREMISES,"£25,500.00",Ayadi Ltd,03/07/2025,87 High Road,London,,,,N2 8AG,03/07/2025,3 MONTHS
33520000200018,OFFICES AND PREMISES,"£4,150.00",B Properties Limited,09/11/2022,2A Park Road,London,,,,NW4 3QB,09/11/2022,NONE
0630009011001B,OFFICES AND PREMISES,"£10,750.00",B. Properties Limited,21/11/2014,Unit 1 Breasy Place,Burroughs Gardens,London,,,NW4 4AT,21/11/2014,NONE
13380002000004,SHOP AND PREMISES,"£45,250.00",Balcraft Properties Limited,01/08/2025,20 East Barnet Road,Barnet,,,,EN4 8RQ,01/08/2025,3 MONTHS
40861002800003,SHOP AND PREMISES,"£43,000.00",Ballymore (Edgware) Ltd,25/08/2025,28 Broadwalk Shopping Centre,Station Road,Edgware,,,HA8 7BD,25/08/2025,3 MONTHS
40861002700002,SHOP AND PREMISES,"£35,250.00",Ballymore (Edgware) Ltd,01/04/2023,27 Broadwalk Shopping Centre,Station Road,Edgware,,,HA8 7BD,23/02/2024,NONE
40861000300002,SHOP AND PREMISES,"£40,000.00",Ballymore (Edgware) Ltd,23/01/2025,Unit 3 Broadwalk Shopping Centre,Station Road,Edgware,,,HA8 7BD,07/10/2024,NONE
22420136000015,RESTAURANT AND PREMISES,"£28,750.00",Bar Hakuna Matata Limited,11/08/2020,1360 High Road,London,,,,N20 9HJ,28/02/2025,NONE
4096000011000A,OFFICES AND PREMISES,"£13,000.00",Basil Gordon (Investments) Limited,01/08/2025,Advisa Medica,Pt 1st Frl Right,1-6 Station Road,London,,NW7 2JU,01/08/2025,3 MONTHS
6300090110063,OFFICES AND PREMISES,"£16,500.00",BH Deals Ltd,03/07/2025,Unit 6 Breasy Place,Burroughs Gardens,London,,,NW4 4AT,31/03/2024,NONE
32600000010043,CAFE AND PREMISES,"£18,500.00",Bikem Limited,01/04/2022,Cafe South Ground Floor 4,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2022,LIQUIDATION
5160011010002,OFFICES WAREHOUSE AND PREMISES,"£35,750.00",Bishopsgate Management Ltd,01/04/2010,Philex House,110-124 The Broadway,London,,,NW9 7BP,17/09/2015,NONE
15820066700018,SHOP AND PREMISES,"£19,000.00",Blesstree Limited,01/09/2025,667 Finchley Road,London,,,,NW2 2HN,01/09/2025,3 MONTHS
1582007920000B,SHOP AND PREMISES,"£26,500.00",Bluebell Restaurants Limited,17/11/2022,792 Finchley Road,London,,,,NW11 7TJ,04/09/2023,LISTED
40860003810012,PUBLIC HOUSE AND PREMISES,"£31,900.00",Bmk Property Investment Ltd,21/07/2011,The Railway Hotel,38 Station Road,Edgware,,,HA8 7AB,15/12/2005,LISTED
27160000930099,SHOP AND PREMISES,"£31,250.00",BNJ Investments Limited,24/02/2024,9-17 Lodge Lane,London,,,,N12 8JH,24/02/2024,NONE
18180005500014,SHOP AND PREMISES,"£34,000.00",Boots Opticians Professional Services Ltd,22/12/2016,55 Golders Green Road,London,,,,NW11 8EL,21/08/2020,LISTED
2244001121002A,SHOP AND PREMISES,"£50,500.00",Bourneheights Limited,04/09/2024,Gnd Flr,112A High Street,Barnet,Hertfordshire,,EN5 5XQ,04/09/2024,NONE
880000600001,HAIRDRESSING SALON AND PREMISES,"£10,000.00",Bramber Properties Limited,02/02/2025,6 Alston Road,Barnet,Hertfordshire,,,EN5 4ET,02/02/2025,NONE
17320001620009,WAREHOUSE AND PREMISES,"£210,000.00",Bread Factory Limited,31/03/2017,Unit 15-17 Garrick Industrial Centre,Irving Way,London,,,NW9 6AQ,25/01/2017,INDUSTRIAL
4520000010513,KIOSK AND PREMISES,"£67,500.00",Brent Cross Partnership,09/06/2025,Kiosk 1 West Mall Upper Level At,Brent Cross Regional Shopping Centre,London,,,NW4 3FP,09/06/2025,NONE
4520050110027,SHOP AND PREMISES,"£68,500.00",Brent Cross Partnership,29/11/2022,Unit Z,4 Brent Cross Regional Shopping Centre,London,,,NW4 3FD,21/04/2024,NONE
35580000010326,OFFICES AND PREMISES,"£29,750.00",Brianco Services Limited,11/11/2023,Blk B Rhs,Queens Road,Barnet,Hertfordshire,,EN5 4DJ,11/11/2023,NONE
3558000001042B,OFFICES AND PREMISES,"£33,500.00",Brianco Services Limited,21/05/2023,Unit E4 1st Fl Block E,Queens Road,Barnet,Hertfordshire,,EN5 4DG,21/05/2023,NONE
1582007500001B,SHOP AND PREMISES,"£20,250.00",Btoc Holdings Ltd,13/12/2024,750 Finchley Road,London,,,,NW11 7TH,,NONE
22460005610071,OFFICES AND PREMISES,"£36,000.00",Business Enterprise Technologies Ltd - P,22/06/2023,6th F Elizabeth House 56-58,High Street,Edgware,,,HA8 7ER,14/02/2024,ADMINISTRATION
4640092020007,WEIGHBRIDGE OFFICES AND PREMISES,"£18,000.00",Bxs Limited Partnership,19/05/2023,Weighbridge,Brent Terrace,London,,,NW2 1LN,10/12/2021,NONE
8700003900015,SHOP AND PREMISES,"£13,750.00",Bzd Properties Ltd,17/04/2025,39 Church Hill Road,Barnet,Hertfordshire,,,EN4 8SY,17/04/2025,NONE
18180001120007,SHOP AND PREMISES,"£61,000.00",C B Costa Brothers Coffee Ltd,01/04/2011,11-13 Golders Green Road,London,,,,NW11 8DY,29/12/2022,NONE
36360023710046,OFFICES AND PREMISES,"£17,750.00",CGM Investments Limited,01/06/2025,1st Fl Rear Left,Carradine House,237 Regents Park Road,London,,N3 3LF,01/06/2025,NONE
18180000210065,OFFICES AND PREMISES,"£16,750.00",Charlford Ltd,22/05/2025,2nd Flr 2b,Golders Green Road,London,,,NW11 8LH,01/11/2005,NONE
22400082000009,SHOP AND PREMISES,"£39,250.00",Charlford Ltd,24/02/2025,820 High Road,London,,,,N12 9QY,20/05/2024,NONE
0608001201014B,OFFICES AND PREMISES,"£6,800.00",Churchill House Management Ltd,15/02/2023,1st Floor Suite 211,Lyndhurst House,120 Bunns Lane,London,,NW7 2AR,15/02/2023,NONE
4600013720429,BUSINESS UNIT OFFICE AND PREMISES,"£9,300.00",Churchill House Management Ltd,13/12/2018,Suite 42 Churchill Hse Business Cent,137 Brent Street,London,,,NW4 4DJ,13/12/2018,NONE
4600013720414,BUSINESS UNIT AND PREMISES,"£13,500.00",Churchill House Management Ltd,13/12/2018,Suite 41 Churchill Hse Business Cntr,137 Brent Street,London,,,NW4 4DJ,13/12/2018,NONE
6080012010032,OFFICES AND PREMISES,"£29,250.00",Churchill House Management Ltd,08/04/2016,Gnd Flr Left,Lyndhurst House,120 Bunns Lane,London,,NW7 2AR,01/08/2016,NONE
13380001910006,SHOP AND PREMISES,"£15,000.00",Coffee &matcha Ltd,01/07/2024,19 East Barnet Road,Barnet,Hertfordshire,,,EN4 8RN,11/09/2023,NONE
15820090900008,KIOSK AND PREMISES,"£8,200.00",Coffee Pound Ltd,31/12/2015,909 Finchley Road,London,,,,NW11 7PE,21/05/2025,NONE
3260000001225A,OFFICES AND PREMISES,"£372,500.00",Comer (new Southgate) No 1 Limited,07/10/2025,Pt Gnd & Pt 1st Flr Building 2,North London Business Park,Oakleigh Road South,London,,N11 1GN,,3 MONTHS
3260000001065B,OFFICES AND PREMISES,"£1,425.00",Comer (new Southgate) No 1 Limited,12/12/2014,Room 222e 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,09/04/2014,DE-MINIMUS RATEABLE VALUE
32600000010698,OFFICES AND PREMISES,"£1,550.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 222b 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,19/02/2016,DE-MINIMUS RATEABLE VALUE
3260000001070A,OFFICES AND PREMISES,"£1,550.00",Comer (new Southgate) No 1 Limited,21/07/2016,Room 222c 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,21/07/2016,DE-MINIMUS RATEABLE VALUE
32600000010895,OFFICES AND PREMISES,"£1,575.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 314 2nd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,09/04/2014,DE-MINIMUS RATEABLE VALUE
32600000011173,OFFICES AND PREMISES,"£1,700.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 228d 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/05/2016,DE-MINIMUS RATEABLE VALUE
32600000012157,OFFICES AND PREMISES,"£1,700.00",Comer (new Southgate) No 1 Limited,01/02/2019,Room 326d 2nd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/02/2019,DE-MINIMUS RATEABLE VALUE
32600000011031,OFFICES AND PREMISES,"£1,725.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 313 2nd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,09/04/2014,DE-MINIMUS RATEABLE VALUE
32600000011351,OFFICES AND PREMISES,"£1,950.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 223a 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,17/04/2020,DE-MINIMUS RATEABLE VALUE
32600000011385,OFFICES AND PREMISES,"£1,975.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 339 2nd Flr Building 3,North London Busienss Park,Oakleigh Road South,London,,N11 1GN,11/05/2015,DE-MINIMUS RATEABLE VALUE
3260000001218A,OFFICES AND PREMISES,"£2,500.00",Comer (new Southgate) No 1 Limited,01/04/2017,Room 330b 2nd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2017,DE-MINIMUS RATEABLE VALUE
32600000012142,OFFICES AND PREMISES,"£2,550.00",Comer (new Southgate) No 1 Limited,01/02/2019,Room 326c 2nd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/02/2019,DE-MINIMUS RATEABLE VALUE
32600000012195,OFFICES AND PREMISES,"£2,750.00",Comer (new Southgate) No 1 Limited,01/04/2017,Room 330c 2nd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2017,DE-MINIMUS RATEABLE VALUE
32600000010522,OFFICES AND PREMISES,"£3,100.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 217 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,09/04/2014,NONE
32600000011455,OFFICES AND PREMISES,"£4,250.00",Comer (new Southgate) No 1 Limited,01/04/2019,Room 215 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2019,NONE
32600000011489,OFFICES AND PREMISES,"£4,900.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 143 Gnd Flr Building 3,North London Business Centre,Oakleigh Road South,London,,N11 1GN,23/02/2016,NONE
3260000001153B,OFFICES AND PREMISES,"£5,200.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 132a Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/09/2016,NONE
32600000011629,OFFICES AND PREMISES,"£5,400.00",Comer (new Southgate) No 1 Limited,13/09/2022,Room 236 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,13/09/2022,NONE
32600000011559,OFFICES AND PREMISES,"£10,000.00",Comer (new Southgate) No 1 Limited,17/12/2014,Room 242 1st Flr Building 3,North London Business Centre,Oakleigh Road South,London,,N11 1GN,30/11/2015,NONE
32600000011188,OFFICES AND PREMISES,"£12,250.00",Comer (new Southgate) No 1 Limited,01/04/2020,Room 229 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2020,NONE
32600000010715,OFFICES AND PREMISES,"£1,550.00",Comer (New Southgate) No1 Limited,31/01/2017,Room 222d 1st Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,31/01/2017,DE-MINIMUS RATEABLE VALUE
32600000011224,OFFICES AND PREMISES,"£1,875.00",Comer (New Southgate) No1 Limited,01/04/2017,Room 136 Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2017,DE-MINIMUS RATEABLE VALUE
3260000001031A,OFFICES AND PREMISES,"£1,975.00",Comer (New Southgate) No1 Limited,01/04/2017,Room 138 Gnd Flr Building 3,North London Business Park,Oakleigh Road South,London,,N11 1GN,01/04/2017,DE-MINIMUS RATEABLE VALUE
46960001510066,OFFICES AND PREMISES,"£8,900.00",Conance Ltd,25/12/2024,1st Flr Right,15-17 Wood Street,Barnet,Hertfordshire,,EN5 4BE,25/12/2024,LISTED
44140006410024,WORKSHOP AND PREMISES,"£15,000.00",Coopers Investments Ltd,28/02/2021,R/o,64 Victoria Road,Barnet,Hertfordshire,,EN4 9PE,28/02/2021,INDUSTRIAL
4696000531000B,STORE AND PREMISES,"£1,700.00",Cosmo House Limited,06/06/2023,Garage at,Unit 4 Cosmo House,53 Wood Street,Barnet,Hertfordshire,EN5 4BS,01/02/2017,INDUSTRIAL
46960005310033,CAR PARKING SPACES AND PREMISES,"£3,000.00",Cosmo House Limited,01/04/2019,Parking Spaces 21-25 For Unit 4,Cosmo House,53 Wood Street,Barnet,Hertfordshire,EN5 4BS,01/04/2019,NONE
31620003210012,OFFICES AND PREMISES,"£8,300.00",Counselling and Therapy Ltd,29/01/2025,3rd Flr,32B North End Road,London,,,NW11 7PT,01/07/2023,NONE
31620003210008,OFFICES AND PREMISES,"£13,750.00",Counselling and Therapy Ltd,29/01/2025,2nd Flr,32B North End Road,London,,,NW11 7PT,01/07/2023,NONE
22400080300005,SHOP AND PREMISES,"£20,250.00",Cowley Street Investments (westminster) Ltd,04/10/2024,803 High Road,London,,,,N12 8JT,04/10/2024,NONE
22420143010024,RETAIL WAREHOUSE AND PREMISES,"£66,000.00",Cpr Realisations Limited Post Administra,12/05/2025,Carpetright,1430 High Road,London,,,N20 9DE,12/05/2025,ADMINISTRATION
175410005B0001,RETAIL WAREHOUSE AND PREMISES,"£233,000.00",Cpr Realisations Limited Post Administra,22/07/2024,Unit 5b Staples Corner Retail Park,Geron Way,London,,,NW2 6LD,22/07/2024,ADMINISTRATION
6200021800004,RESTAURANT AND PREMISES,"£61,000.00",Crownvale Entertainment Ltd,25/02/2025,218 Burnt Oak Broadway,Edgware,Middlesex,,,HA8 0AP,25/02/2025,NONE
34600000010053,OFFICES AND PREMISES,"£25,250.00",Dacol Limited,12/08/2025,2nd Flr Rear,Hathaway House,Popes Drive,London,,N3 1QF,12/08/2025,3 MONTHS
34600000010157,CAR PARKING SPACES AND PREMISES,"£2,400.00",Dacol Limited,03/10/2022,Car Parking Space For,1st Flr Hathaway House,Popes Drive,London,,N3 1QF,03/10/2022,DE-MINIMUS RATEABLE VALUE
2186003872000B,SHOP AND PREMISES,"£21,500.00",Daejan Investments Limited,14/08/2025,387-389 Hendon Way,London,,,,NW4 3LP,14/08/2025,3 MONTHS
21860038500005,SHOP & PREMISES,"£11,500.00",Daejan Investments Limited,25/03/2025,385 Hendon Way,London,,,,NW4 3LP,25/03/2025,NONE
15780000700019,SHOP AND PREMISES,"£15,500.00",Daejan Properties Ltd,21/05/2025,7 Finchley Lane,London,,,,NW4 1BN,21/05/2025,NONE
15780000100013,BANK AND PREMISES,"£40,750.00",Daejan Properties Ltd,29/09/2022,1 Finchley Lane,London,,,,NW4 1BN,29/09/2022,NONE
0116000141007B,OFFICES AND PREMISES,"£27,250.00",Dancastle Limited,05/09/2025,First Floor,3 Dancastle Court,14 Arcadia Avenue,London,,N3 2JU,05/09/2025,3 MONTHS
30560004910413,CAR PARKING SPACE AND PREMISES,£300.00,Daniel&Adrian Limited,02/10/2017,Parking Space For Unit 23,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,02/10/2017,DE-MINIMUS RATEABLE VALUE
22460005610029,OFFICES AND PREMISES,"£35,250.00",Dasa Holding Limited,24/09/2024,1st F Elizabeth House 56-58,High Street,Edgware,,,HA8 7ER,21/11/2024,NONE
22400068200005,RESTAURANT AND PREMISES,"£21,000.00",Daytime Properties Limited,27/12/2023,682 High Road,London,,,,N12 9PT,26/11/2018,NONE
0586000001013B,WAREHOUSE AND PREMISES,"£156,000.00",Demar (BVI) Holdings Limited,08/10/2024,13 Brunswick Industrial Park,Brunswick Way,London,,,N11 1JL,08/10/2024,INDUSTRIAL
45760000010171,OFFICES AND PREMISES,"£1,900.00",Department For Work And Pensions,05/11/2024,Room E 1st Flr Frnt Pt,15-17 Western Parade,Great North Road,Barnet,Hertfordshire,EN5 1AD,31/12/2023,DE-MINIMUS RATEABLE VALUE
45760000010203,OFFICES AND PREMISES,"£2,800.00",Department For Work And Pensions,05/11/2024,Suite H 1st Flr Left,15-17 Western Parade,Great North Road,Barnet,Hertfordshire,EN5 1AD,30/04/2023,DE-MINIMUS RATEABLE VALUE
45760000010256,OFFICES AND PREMISES,"£6,300.00",Department For Work And Pensions,05/11/2024,Suites Q & R 1st Flr Left,15-17 Western Parade,Great North Road,Barnet,Hertfordshire,EN5 1AD,19/05/2023,NONE
4576000001019A,OFFICES AND PREMISES,"£8,100.00",Department For Work And Pensions,05/08/2024,Suite G 1st Flr Left,15-17 Western Parade,Great North Road,Barnet,Hertfordshire,EN5 1AD,05/08/2024,NONE
45760001510032,OFFICES AND PREMISES,"£45,000.00",Department For Work And Pensions,01/04/2018,Gnd Flr Left 15-17 Western Parade,Great North Road,Barnet,Hertfordshire,,EN5 1AD,14/04/2011,NONE
23501001000004,SHOP AND PREMISES,"£12,500.00",Dignity Funerals Limited,22/12/2016,10 Holders Hill Parade,London,,,,NW7 1LY,22/12/2016,NONE
2200026710081,OFFICES AND PREMISES,"£7,100.00",Dimpex Holdings Ltd,30/06/2025,Room 8,First Floor,267 Ballards Lane,London,,N12 8NR,30/06/2025,NONE
3530000601002B,WAREHOUSE AND PREMISES,"£60,000.00",Domino Limited,10/05/2022,60a Purley Avenue,London,,,,NW2 1SB,19/10/2023,INDUSTRIAL
13380000110034,SHOP AND PREMISES,"£22,500.00",Done Brothers (cash Betting) Limited T/a Betfred,27/01/2017,Grd Fl,1 East Barnet Road,Barnet,Hertfordshire,,EN4 8RR,09/08/2025,3 MONTHS
2200008500022,OFFICES AND PREMISES,"£37,750.00",Dow Properties Limited,26/06/2023,Floors 1 - 3,85-87 Ballards Lane,London,,,N3 1XT,26/06/2023,NONE
40860015719039,STORE AND PREMISES,"£5,400.00",Dow Properties Ltd,11/05/2018,R/o,157 Station Road,Edgware,,,HA8 7JS,11/05/2018,NONE
0220001490002A,SHOP AND PREMISES,"£18,250.00",REDACTED,06/05/2022,149 Ballards Lane,London,,,,N3 1LJ,25/02/2025,NONE
47200022900003,BETTING SHOP AND PREMISES,"£11,750.00",REDACTED,30/10/2018,229 Woodhouse Road,London,,,,N12 9BH,28/11/2018,NONE
3260000001225A,OFFICES AND PREMISES,"£372,500.00",DTS Property Facilities Ltd,07/04/2025,Pt Gnd & Pt 1st Flr Building 2,North London Business Park,Oakleigh Road South,London,,N11 1GN,09/07/2025,3 MONTHS
32520000910009,OFFICES AND PREMISES,"£6,500.00",Dudrich (holdings) Ltd,04/03/2021,The Pc Surgeon,9-11 Oakleigh Mews,London,,,N20 9HQ,04/03/2021,NONE
32580001100005,STORE AND PREMISES,"£10,500.00",Dudrich (holdings) Ltd,04/03/2021,11 Oakleigh Road North,London,,,,N20 9HE,04/03/2021,NONE
16800003010061,OFFICES AND PREMISES,"£37,500.00",Dynamic People Ltd,01/04/2015,Unit 1 At,30-32 Friern Park,London,,,N12 9DA,01/04/2015,NONE
180000409028,OFFICES AND PREMISES,"£5,800.00",Easy Lettings Ltd,30/03/2022,Left,4 Accommodation Road,London,,,NW11 8ED,30/03/2022,NONE
280000120009,CAR WASH & PREMISES,"£13,750.00",Eclipse Automotive Films Limited,14/09/2023,Unit A At,Railway Arch,1 Adrian Avenue,London,,NW2 1LX,09/04/2024,NONE
13821001600012,RESTAURANT AND PREMISES,"£28,000.00",Edgware Food Ltd,31/01/2024,16 The Promenade,Edgware,,,,HA8 7JZ,11/02/2025,NONE
1378000760001A,SHOP AND PREMISES,"£16,750.00",Edgware Sephardi Bet Hamedrash,16/08/2024,76 Edgware Way,Edgware,,,,HA8 8JS,03/12/2024,NONE
22460000210147,CAR PARKING SPACE AND PREMISES,£300.00,Elmer Gardens Ltd,16/04/2025,Car Parking Space For,Unit 3 At Land Rear Of,2 High Street,Edgware,Middlesex,HA8 7EF,16/04/2025,DE-MINIMUS RATEABLE VALUE
22460000210132,CAR PARKING SPACE AND PREMISES,£600.00,Elmer Gardens Ltd,16/04/2025,Car Parking Sapces X2 For,Unit 2 At Land Rear Of,2 High Street,Edgware,Middlesex,HA8 7EF,16/04/2025,DE-MINIMUS RATEABLE VALUE
22460000210113,WORKSHOP AND PREMISES,"£8,700.00",Elmer Gardens Ltd,16/04/2025,Unit 3 At Land Rear Of,2 High Street,Edgware,Middlesex,,HA8,16/04/2025,INDUSTRIAL
22460000210109,WORKSHOP AND PREMISES,"£12,500.00",Elmer Gardens Ltd,16/04/2025,Unit 2 At Land Rear Of,2 High Street,Edgware,Middlesex,,HA8 7EF,16/04/2025,INDUSTRIAL
44280000200004,SHOP AND PREMISES,"£16,500.00",Epire Ltd,18/09/2025,2 Vivian Avenue,London,,,,NW4 3YA,11/03/2022,NONE
22400097510018,WORKSHOP CAR HIRE AND PREMISES,"£40,250.00",Europcar Group UK Limited,01/04/2003,975 High Road,London,,,,N12 9AJ,13/02/2023,NONE
24503000010105,OFFICES AND PREMISES,"£17,000.00",Executive Investment limited,17/12/2023,Suite 8.3 8th Flr,Hyde House,The Hyde,London,,NW9 6LH,17/12/2023,NONE
24503091410032,OFFICES AND PREMISES,"£15,750.00",Executive Investment Ltd,13/11/2024,Suite C 10th Fl Hyde House,The Hyde,London,,,NW9 6LH,14/05/2025,NONE
24503000010092,OFFICES AND PREMISES,"£15,750.00",Executive Investments Limited,01/12/2023,Suite 8.2 8th Flr,Hyde House,The Hyde,London,,NW9 6LH,01/12/2023,NONE
24503091410013,OFFICES AND PREMISES,"£26,750.00",Executive Investments Limited,05/12/2024,Suite A 10th Fl Hyde House,The Hyde,London,,,NW9 6LH,05/06/2025,NONE
40860019800017,SHOP AND PREMISES,"£22,750.00",Fayzano Ltd,14/10/2024,198 Station Road,Edgware,,,,HA8 7AR,21/11/2024,NONE
6080000010109,CAR PARKING SPACES AND PREMISES,"£2,400.00",FBW2022 Limited,24/01/2024,Parking For Unit 6,Granard Business Centre,Bunns Lane,London,,NW7 2DQ,24/01/2024,DE-MINIMUS RATEABLE VALUE
5900011510032,STORE SHOWROOM AND PREMISES,"£38,750.00",Fenzi Ltd,27/05/2025,Part,115 Brunswick Park Road,London,,,N11 1EA,27/05/2025,NONE
12820000210419,CAR PARKING SPACE AND PREMISES,"£3,000.00",Finchley Developments C & G Ltd,01/04/2025,Parking Spaces For 2nd Flr Rhs,Winston House,2 Dollis Park,London,,N3 1HG,01/04/2025,NONE
12820000210207,OFFICES AND PREMISES,"£12,000.00",Finchley Developments C & G Ltd,01/04/2017,Rooms 303-305 3rd Flr,Winston House,2 Dollis Park,London,,N3 1HG,01/04/2017,NONE
0116000001003B,CAR PARKING SPACE AND PREMISES,"£6,600.00",Finchley Gate Properties Limited,03/11/2024,Car Parking Spaces For,2nd Flr Gadd House,Arcadia Avenue,London,,N3 2JU,03/11/2024,NONE
1160000010025,OFFICES AND PREMISES,"£42,500.00",Finchley Gate Properties Limited,03/11/2024,2nd Flr,Gadd House,Arcadia Avenue,London,,N3 2JU,03/11/2024,NONE
2200001110057,CAR PARK AND PREMISES,"£3,850.00",Finchley Land Limited,24/06/2024,5 Parking Spaces,1st Flr Left Sovereign House,11-19 Ballards Lane,London,,N3 1UX,24/06/2024,NONE
2200001110042,OFFICES AND PREMISES,"£57,000.00",Finchley Land Limited,30/04/2025,1st Flr Left Sovereign House,11-19 Ballards Lane,London,,,N3 1UX,24/06/2024,NONE
18180012400016,SHOP AND PREMISES,"£25,750.00",Finlaw Thirty Two Ltd T/a Milk N Honey,01/04/2000,124 Golders Green Road,London,,,,NW11 8HB,01/04/2025,NONE
9940023110031,VEHICLE REPAIR WORKSHOP AND PREMISES,"£50,500.00",Flora-Bana Ltd,29/07/2025,Unit 2 At,231 Colney Hatch Lane,London,,,N11 3DG,29/07/2025,3 MONTHS
4600090210178,OFFICES AND PREMISES,"£30,250.00",Foframe Properties Ltd,01/04/2005,2nd Floor Rear,35-37 Brent Street,London,,,NW4 2EF,17/08/2018,NONE
